"Recording","Timestamp","Species Text","Calls [#]","Mean Peak Frequency [kHz]","Mean Max Frequency [kHz]","Mean Min Frequency [kHz]","Mean Call Lenght [ms]","Mean Call Distance [ms]","Temperature [°C]","Latitude [WGS84]","Longitude [WGS84]","Length [s]"
"24910023","06/05/2018 21:35:27","Rhinolophus hipposideros","36","107.9","109.2","105.6","35.7","80","16.0","50.495062","-4.137962","4.66"
"24910024","06/05/2018 21:36:39","Nyctalus noctula","17","18.8","20.4","17.7","10.0","400","16.0","50.484973","-4.126730","6.62"
"24910025","06/05/2018 21:38:21","Nyctalus noctula","1","18.0","19.8","16.8","16.4","0","16.0","50.508830","-4.153088","1.50"
"24910026","06/05/2018 21:44:00","Eptesicus serotinus","0","0.0","0.0","0.0","0.0","0","16.0","","","9.35"
"24910027","06/05/2018 21:46:50","Myotis spec.","2","51.1","55.8","48.7","3.0","81","16.0","","","1.50"
"24910028","06/05/2018 21:46:54","Pipistrellus pipistrellus","23","46.6","52.9","45.4","5.0","90","16.0","","","6.58"
"24910029","06/05/2018 21:49:56","Nyctalus noctula","2","18.5","19.8","17.5","11.8","436","16.0","","","1.50"
"24910030","06/05/2018 21:49:58","Nyctalus noctula","2","18.0","18.6","17.1","12.5","438","16.0","","","1.50"
"24910031","06/05/2018 22:08:21","Pipistrellus pygmaeus","36","58.4","66.1","56.9","5.0","80","14.0","","","5.02"
"24910032","06/05/2018 22:29:05","Nyctalus noctula","4","21.0","23.5","20.0","7.0","400","14.0","50.516208","-4.162677","1.50"
"24910033","06/05/2018 22:35:19","Pipistrellus pipistrellus","11","46.2","48.9","45.3","9.0","480","14.0","","","5.04"
"24910034","06/05/2018 22:35:41","Nyctalus noctula","7","20.9","23.3","19.0","14.0","382","13.0","","","3.53"
"24910035","06/05/2018 22:39:09","Myotis spec.","21","43.9","52.4","39.8","3.0","150","13.0","","","3.90"
"24910036","06/05/2018 23:08:31","Nyctalus noctula","1","18.6","19.8","16.8","19.7","0","13.0","","","1.50"
"24910037","06/05/2018 23:18:56","Barbastella barbastellus","6","40.4","41.4","39.2","9.0","400","13.0","50.517278","-4.162505","2.20"
"24910038","06/05/2018 23:29:14","Pipistrellus pygmaeus","16","55.1","61.1","53.8","7.0","90","12.0","50.517497","-4.162920","5.83"
"24910039","06/05/2018 23:30:17","Rhinolophus hipposideros","9","112.8","113.6","110.5","36.6","80","12.0","50.517475","-4.162962","2.67"
"24910040","06/05/2018 23:34:11","Nyctalus noctula","1","19.2","22.9","18.0","14.4","0","12.0","50.517527","-4.162693","1.50"
"24910041","06/05/2018 23:50:38","Pipistrellus pygmaeus","24","54.5","58.9","53.5","7.0","90","12.0","","","6.21"
"24910042","07/05/2018 00:31:41","Pipistrellus pipistrellus","4","43.0","46.9","42.0","9.2","248","11.0","","","1.50"
"24910043","07/05/2018 00:33:46","Rhinolophus hipposideros","13","112.4","113.5","110.3","23.3","90","11.0","50.517985","-4.162648","2.14"
"24910044","07/05/2018 01:45:14","Pipistrellus pygmaeus","3","52.7","59.3","51.5","5.0","324","10.0","","","1.50"
"24910045","07/05/2018 04:03:26","Pipistrellus pygmaeus","17","51.6","55.7","50.7","7.0","160","9.0","","","5.16"
"24910046","07/05/2018 04:07:37","Rhinolophus ferrumequinum","4","81.1","82.9","79.4","33.3","250","9.0","","","1.51"
"24910047","07/05/2018 04:42:20","Pipistrellus pygmaeus","20","52.3","55.2","51.1","7.0","160","9.0","","","4.68"
"24910048","07/05/2018 04:47:38","Pipistrellus pygmaeus","19","56.4","63.0","54.9","5.0","90","9.0","50.517388","-4.162973","4.52"
"24910049","07/05/2018 04:50:48","Pipistrellus pygmaeus","18","54.6","61.6","53.6","3.0","80","9.0","50.517288","-4.162658","2.99"
"24910050","07/05/2018 04:52:18","Rhinolophus ferrumequinum","21","82.4","83.3","79.6","60.0","100","9.0","50.517408","-4.162673","4.74"
